accession	coverage	fasta	taxonomy
IMGVR_UViG_2905855570_000004	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2905855570_000004.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_237_of_Caudoviricetes;f__novel_family_99_of_novel_order_237_of_Caudoviricetes;g__novel_genus_24_of_novel_subfamily_0_of_novel_family_99_of_novel_order_237_of_Caudoviricetes||novel_family_183_of_novel_order_237_of_Caudoviricetes;s__IMGVR_UViG_2905855570_000004
IMGVR_UViG_2708743144_000004	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2708743144_000004.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_209_of_Caudoviricetes;f__Peduoviridae;g__novel_genus_383_of_novel_subfamily_0_of_Peduoviridae||novel_family_191_of_novel_order_237_of_Caudoviricetes||novel_family_24_of_novel_order_209_of_Caudoviricetes;s__IMGVR_UViG_2708743144_000004
IMGVR_UViG_3300045988_081648	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_081648.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_143_of_Caudoviricetes;f__novel_family_71_of_novel_order_143_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_0_of_novel_family_71_of_novel_order_143_of_Caudoviricetes;s__IMGVR_UViG_3300045988_081648
IMGVR_UViG_2711768052_000007	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2711768052_000007.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_222_of_Caudoviricetes;f__novel_family_6_of_novel_order_222_of_Caudoviricetes;g__novel_genus_15_of_novel_subfamily_0_of_novel_family_6_of_novel_order_222_of_Caudoviricetes;s__IMGVR_UViG_2711768052_000007
IMGVR_UViG_3300045988_164084	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_164084.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_142_of_Caudoviricetes;f__novel_family_18_of_novel_order_142_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_0_of_novel_family_18_of_novel_order_142_of_Caudoviricetes;s__IMGVR_UViG_3300045988_164084
IMGVR_UViG_2936182689_000001	3.50905974512	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2936182689_000001.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__IMGVR_UViG_2936182689_000001;f__IMGVR_UViG_2936182689_000001;g__IMGVR_UViG_2936182689_000001;s__IMGVR_UViG_2936182689_000001
IMGVR_UViG_3300008534_000010	0.490940254885	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300008534_000010.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_79_of_Caudoviricetes;f__novel_family_15_of_novel_order_79_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_6_of_novel_family_15_of_novel_order_79_of_Caudoviricetes;s__IMGVR_UViG_3300008534_000010
IMGVR_UViG_3300029439_000335	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300029439_000335.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_80_of_Caudoviricetes;f__novel_family_14_of_novel_order_80_of_Caudoviricetes;g__novel_genus_4_of_novel_subfamily_0_of_novel_family_14_of_novel_order_80_of_Caudoviricetes||novel_family_15_of_novel_order_80_of_Caudoviricetes;s__IMGVR_UViG_3300029439_000335
IMGVR_UViG_3300031853_000080	2.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300031853_000080.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_142_of_Caudoviricetes;f__novel_family_11_of_novel_order_142_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_0_of_novel_family_11_of_novel_order_142_of_Caudoviricetes;s__IMGVR_UViG_3300031853_000080
IMGVR_UViG_3300045988_048646	0.0457913445858	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_048646.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_36_of_Caudoviricetes;f__novel_family_1_of_novel_order_36_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_0_of_novel_family_1_of_novel_order_36_of_Caudoviricetes;s__IMGVR_UViG_3300045988_048646
IMGVR_UViG_2636415639_000002	3.95420865541	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2636415639_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_51_of_Caudoviricetes;f__novel_family_3_of_novel_order_51_of_Caudoviricetes;g__novel_genus_6_of_novel_subfamily_1_of_novel_family_3_of_novel_order_51_of_Caudoviricetes;s__IMGVR_UViG_2636415639_000002
IMGVR_UViG_3300048672_000677	0.0620124236725	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300048672_000677.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_152_of_Caudoviricetes;f__novel_family_17_of_novel_order_152_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_1_of_novel_family_17_of_novel_order_152_of_Caudoviricetes;s__IMGVR_UViG_3300048672_000677
IMGVR_UViG_3300045988_171368	0.937987576328	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_171368.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_141_of_Caudoviricetes;f__novel_family_3_of_novel_order_141_of_Caudoviricetes;g__novel_genus_32_of_novel_subfamily_0_of_novel_family_3_of_novel_order_141_of_Caudoviricetes||novel_family_6_of_novel_order_141_of_Caudoviricetes;s__IMGVR_UViG_3300045988_171368
IMGVR_UViG_3300045988_142133	2.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_142133.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_143_of_Caudoviricetes;f__novel_family_39_of_novel_order_143_of_Caudoviricetes;g__novel_genus_21_of_novel_subfamily_0_of_novel_family_39_of_novel_order_143_of_Caudoviricetes;s__IMGVR_UViG_3300045988_142133
IMGVR_UViG_2899263075_000002	2.92770760638	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2899263075_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_217_of_Caudoviricetes;f__novel_family_97_of_novel_order_217_of_Caudoviricetes;g__novel_genus_3_of_novel_subfamily_0_of_novel_family_97_of_novel_order_217_of_Caudoviricetes||novel_family_100_of_novel_order_217_of_Caudoviricetes;s__IMGVR_UViG_2899263075_000002
IMGVR_UViG_3300045988_057369	0.0722923936249	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_057369.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_96_of_Caudoviricetes;f__novel_family_9_of_novel_order_96_of_Caudoviricetes;g__novel_genus_1_of_novel_subfamily_0_of_novel_family_9_of_novel_order_96_of_Caudoviricetes;s__IMGVR_UViG_3300045988_057369
IMGVR_UViG_3300003465_000014	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300003465_000014.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__IMGVR_UViG_3300003465_000014;f__IMGVR_UViG_3300003465_000014;g__IMGVR_UViG_3300003465_000014;s__IMGVR_UViG_3300003465_000014
IMGVR_UViG_3300007782_000043	2.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300007782_000043.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_237_of_Caudoviricetes;f__novel_family_4_of_novel_order_237_of_Caudoviricetes;g__novel_genus_30_of_novel_subfamily_0_of_novel_family_4_of_novel_order_237_of_Caudoviricetes||novel_family_57_of_novel_order_205_of_Caudoviricetes;s__IMGVR_UViG_3300007782_000043
IMGVR_UViG_3300045988_165641	1.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_165641.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_91_of_Caudoviricetes;f__novel_family_11_of_novel_order_91_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_1_of_novel_family_11_of_novel_order_91_of_Caudoviricetes;s__IMGVR_UViG_3300045988_165641
