tool	community	rank	metric	value	tool2
lyrebird	marine0	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine0	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine0	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine0	order	Bray-Curtis distance	0.0850388923983533	Lyrebird
lyrebird	marine0	family	Bray-Curtis distance	0.105724154218622	Lyrebird
lyrebird	marine0	genus	Bray-Curtis distance	0.125180864500275	Lyrebird
lyrebird	marine0	species	Bray-Curtis distance	0.142764962708746	Lyrebird
lyrebird	marine1	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine1	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine1	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine1	order	Bray-Curtis distance	0.0684122667892142	Lyrebird
lyrebird	marine1	family	Bray-Curtis distance	0.103570970005449	Lyrebird
lyrebird	marine1	genus	Bray-Curtis distance	0.128101030743135	Lyrebird
lyrebird	marine1	species	Bray-Curtis distance	0.137294102546129	Lyrebird
lyrebird	marine2	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine2	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine2	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine2	order	Bray-Curtis distance	0.0912355725943154	Lyrebird
lyrebird	marine2	family	Bray-Curtis distance	0.138345590199484	Lyrebird
lyrebird	marine2	genus	Bray-Curtis distance	0.153492188058442	Lyrebird
lyrebird	marine2	species	Bray-Curtis distance	0.147697508595676	Lyrebird
lyrebird	marine3	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine3	phylum	Bray-Curtis distance	0.00267162061171946	Lyrebird
lyrebird	marine3	class	Bray-Curtis distance	0.00267162061171946	Lyrebird
lyrebird	marine3	order	Bray-Curtis distance	0.0686210471985569	Lyrebird
lyrebird	marine3	family	Bray-Curtis distance	0.118146776810654	Lyrebird
lyrebird	marine3	genus	Bray-Curtis distance	0.146902662703953	Lyrebird
lyrebird	marine3	species	Bray-Curtis distance	0.158926460831981	Lyrebird
lyrebird	marine4	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine4	phylum	Bray-Curtis distance	6.88905100064697e-05	Lyrebird
lyrebird	marine4	class	Bray-Curtis distance	6.88905100064697e-05	Lyrebird
lyrebird	marine4	order	Bray-Curtis distance	0.0632883357929931	Lyrebird
lyrebird	marine4	family	Bray-Curtis distance	0.111118080607242	Lyrebird
lyrebird	marine4	genus	Bray-Curtis distance	0.12945414029533	Lyrebird
lyrebird	marine4	species	Bray-Curtis distance	0.134000542522528	Lyrebird
lyrebird	marine5	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine5	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine5	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine5	order	Bray-Curtis distance	0.082901954121734	Lyrebird
lyrebird	marine5	family	Bray-Curtis distance	0.122597870680462	Lyrebird
lyrebird	marine5	genus	Bray-Curtis distance	0.140249272456016	Lyrebird
lyrebird	marine5	species	Bray-Curtis distance	0.13751240821595	Lyrebird
lyrebird	marine6	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine6	phylum	Bray-Curtis distance	0.0006066381234922	Lyrebird
lyrebird	marine6	class	Bray-Curtis distance	0.0006066381234922	Lyrebird
lyrebird	marine6	order	Bray-Curtis distance	0.0921227248450301	Lyrebird
lyrebird	marine6	family	Bray-Curtis distance	0.13023854953729	Lyrebird
lyrebird	marine6	genus	Bray-Curtis distance	0.148091170102741	Lyrebird
lyrebird	marine6	species	Bray-Curtis distance	0.148473214897347	Lyrebird
lyrebird	marine7	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine7	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine7	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine7	order	Bray-Curtis distance	0.0618324727446557	Lyrebird
lyrebird	marine7	family	Bray-Curtis distance	0.0983664883012332	Lyrebird
lyrebird	marine7	genus	Bray-Curtis distance	0.121746837028252	Lyrebird
lyrebird	marine7	species	Bray-Curtis distance	0.120643078688078	Lyrebird
lyrebird	marine8	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine8	phylum	Bray-Curtis distance	0.000787201406748257	Lyrebird
lyrebird	marine8	class	Bray-Curtis distance	0.000787201406748257	Lyrebird
lyrebird	marine8	order	Bray-Curtis distance	0.0885431827939303	Lyrebird
lyrebird	marine8	family	Bray-Curtis distance	0.140358679677256	Lyrebird
lyrebird	marine8	genus	Bray-Curtis distance	0.162240067708406	Lyrebird
lyrebird	marine8	species	Bray-Curtis distance	0.169856194419724	Lyrebird
lyrebird	marine9	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine9	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine9	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine9	order	Bray-Curtis distance	0.116737751625443	Lyrebird
lyrebird	marine9	family	Bray-Curtis distance	0.152013259209219	Lyrebird
lyrebird	marine9	genus	Bray-Curtis distance	0.161721928747434	Lyrebird
lyrebird	marine9	species	Bray-Curtis distance	0.162165586686785	Lyrebird
