tool	threads	community	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
lyrebird	32	marine0	241.8072	0:04:01	1135.75	36089.5	1099.32	1100.56	43.57	70.56	73.08	36.82
lyrebird	32	marine1	253.4498	0:04:13	1265.91	36097.14	1249.16	1250.39	51.18	63.79	70.48	32.82
lyrebird	32	marine2	248.4302	0:04:08	1266.94	36134.87	1250.21	1251.43	66.23	58.91	74.66	34.33
lyrebird	32	marine3	370.8026	0:06:10	1259.17	26184.67	1246.98	1248.22	1517.44	67.36	14.34	47.64
lyrebird	32	marine4	234.1003	0:03:54	1199.27	36099.13	1245.6	1246.84	50.01	62.04	88.74	43.55
lyrebird	32	marine5	262.5559	0:04:22	1319.35	36135.03	1302.17	1303.38	0	62.33	79.26	44.98
lyrebird	32	marine6	256.8833	0:04:16	1331.09	36135.02	1313.13	1314.35	0	62.46	78.76	32.84
lyrebird	32	marine7	238.5639	0:03:58	1221.23	36091.23	1200.92	1202.15	44.55	62.12	80.52	39.68
lyrebird	32	marine8	265.2995	0:04:25	1221.12	35842.04	1223.65	1224.88	140.45	64.35	77.44	44.23
lyrebird	32	marine9	249.4947	0:04:09	1315.93	35848.66	1298.96	1300.17	0.04	59.23	85.79	31.4
