accession	coverage	fasta	taxonomy
AY319521.1	1.41153	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_058885.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_96_of_Caudoviricetes;f__novel_family_9_of_novel_order_96_of_Caudoviricetes;g__novel_genus_19_of_novel_subfamily_0_of_novel_family_9_of_novel_order_96_of_Caudoviricetes;s__IMGVR_UViG_3300045988_058885
BK010471.1	1.41481	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2651869563_000001.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_89_of_Caudoviricetes;f__novel_family_94_of_novel_order_89_of_Caudoviricetes;g__novel_genus_55_of_novel_subfamily_0_of_novel_family_94_of_novel_order_89_of_Caudoviricetes||novel_family_95_of_novel_order_89_of_Caudoviricetes||novel_family_86_of_novel_order_89_of_Caudoviricetes||novel_family_56_of_novel_order_89_of_Caudoviricetes;s__IMGVR_UViG_2651869563_000001
CAJCJZ010000002.1	1.2559	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2513237361_000012.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_205_of_Caudoviricetes;f__novel_family_50_of_novel_order_205_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_4_of_novel_family_50_of_novel_order_205_of_Caudoviricetes;s__IMGVR_UViG_2513237361_000012
CP014526.1	1.41253	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2870213287_000005.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_79_of_Caudoviricetes;f__novel_family_31_of_novel_order_79_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_0_of_novel_family_31_of_novel_order_79_of_Caudoviricetes||novel_family_30_of_novel_order_79_of_Caudoviricetes||novel_family_36_of_novel_order_79_of_Caudoviricetes;s__IMGVR_UViG_2870213287_000005
CP023686.1	2.54205	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_068406.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_87_of_Caudoviricetes;f__novel_family_13_of_novel_order_87_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_1_of_novel_family_13_of_novel_order_87_of_Caudoviricetes;s__IMGVR_UViG_3300045988_068406
CP038625.1	1.75465	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_147708.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_45_of_Caudoviricetes;f__novel_family_21_of_novel_order_45_of_Caudoviricetes;g__novel_genus_1_of_novel_subfamily_0_of_novel_family_18_of_novel_order_45_of_Caudoviricetes||novel_family_23_of_novel_order_45_of_Caudoviricetes||novel_family_21_of_novel_order_45_of_Caudoviricetes||novel_family_20_of_novel_order_45_of_Caudoviricetes;s__IMGVR_UViG_3300045988_147708
CP052639.1	1.42176	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_643348585_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_205_of_Caudoviricetes;f__novel_family_57_of_novel_order_205_of_Caudoviricetes;g__novel_genus_4_of_novel_subfamily_0_of_novel_family_50_of_novel_order_205_of_Caudoviricetes||novel_family_57_of_novel_order_205_of_Caudoviricetes;s__IMGVR_UViG_643348585_000002
IMGVR_UViG_2029527004_000018	2.54325	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2941479691_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_237_of_Caudoviricetes;f__novel_family_48_of_novel_order_237_of_Caudoviricetes;g__novel_genus_7_of_novel_subfamily_0_of_novel_family_48_of_novel_order_237_of_Caudoviricetes||novel_family_53_of_novel_order_237_of_Caudoviricetes||novel_family_67_of_novel_order_237_of_Caudoviricetes||novel_family_50_of_novel_order_237_of_Caudoviricetes;s__IMGVR_UViG_2941479691_000002
IMGVR_UViG_2029527005_000024	1.26168	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300045988_067740.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_96_of_Caudoviricetes;f__novel_family_5_of_novel_order_96_of_Caudoviricetes;g__novel_genus_17_of_novel_subfamily_0_of_novel_family_5_of_novel_order_96_of_Caudoviricetes;s__IMGVR_UViG_3300045988_067740
IMGVR_UViG_2029527005_000025	1.577	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2521172680_000008.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_89_of_Caudoviricetes;f__novel_family_82_of_novel_order_89_of_Caudoviricetes;g__novel_genus_20_of_novel_subfamily_0_of_novel_family_82_of_novel_order_89_of_Caudoviricetes||novel_family_95_of_novel_order_89_of_Caudoviricetes;s__IMGVR_UViG_2521172680_000008
