tool	community	rank	metric	value	tool2
lyrebird	marine0	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine0	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine0	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine0	order	Bray-Curtis distance	0.0919939455937823	Lyrebird
lyrebird	marine0	family	Bray-Curtis distance	0.12242156169663	Lyrebird
lyrebird	marine0	genus	Bray-Curtis distance	0.150757266653892	Lyrebird
lyrebird	marine0	species	Bray-Curtis distance	0.363003276191472	Lyrebird
lyrebird	marine1	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine1	phylum	Bray-Curtis distance	9.87258118643516e-05	Lyrebird
lyrebird	marine1	class	Bray-Curtis distance	9.87258118643516e-05	Lyrebird
lyrebird	marine1	order	Bray-Curtis distance	0.0809253379463918	Lyrebird
lyrebird	marine1	family	Bray-Curtis distance	0.121415759466287	Lyrebird
lyrebird	marine1	genus	Bray-Curtis distance	0.152918712728932	Lyrebird
lyrebird	marine1	species	Bray-Curtis distance	0.232923915697118	Lyrebird
lyrebird	marine2	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine2	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine2	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine2	order	Bray-Curtis distance	0.0752328064989578	Lyrebird
lyrebird	marine2	family	Bray-Curtis distance	0.106586328757668	Lyrebird
lyrebird	marine2	genus	Bray-Curtis distance	0.134221215969012	Lyrebird
lyrebird	marine2	species	Bray-Curtis distance	0.226421721538014	Lyrebird
lyrebird	marine3	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine3	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine3	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine3	order	Bray-Curtis distance	0.10238366151798	Lyrebird
lyrebird	marine3	family	Bray-Curtis distance	0.14387689460177	Lyrebird
lyrebird	marine3	genus	Bray-Curtis distance	0.17738630900054	Lyrebird
lyrebird	marine3	species	Bray-Curtis distance	0.256468630499099	Lyrebird
lyrebird	marine4	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine4	phylum	Bray-Curtis distance	0.000442066701507451	Lyrebird
lyrebird	marine4	class	Bray-Curtis distance	0.000442066701507451	Lyrebird
lyrebird	marine4	order	Bray-Curtis distance	0.0874219642532853	Lyrebird
lyrebird	marine4	family	Bray-Curtis distance	0.124471034407743	Lyrebird
lyrebird	marine4	genus	Bray-Curtis distance	0.153481427710317	Lyrebird
lyrebird	marine4	species	Bray-Curtis distance	0.217116078955352	Lyrebird
lyrebird	marine5	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine5	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine5	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine5	order	Bray-Curtis distance	0.0868472449978965	Lyrebird
lyrebird	marine5	family	Bray-Curtis distance	0.125597405485333	Lyrebird
lyrebird	marine5	genus	Bray-Curtis distance	0.158948871607816	Lyrebird
lyrebird	marine5	species	Bray-Curtis distance	0.259784953504513	Lyrebird
lyrebird	marine6	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine6	phylum	Bray-Curtis distance	0	Lyrebird
lyrebird	marine6	class	Bray-Curtis distance	0	Lyrebird
lyrebird	marine6	order	Bray-Curtis distance	0.0973221341780103	Lyrebird
lyrebird	marine6	family	Bray-Curtis distance	0.141539955908256	Lyrebird
lyrebird	marine6	genus	Bray-Curtis distance	0.179575093915487	Lyrebird
lyrebird	marine6	species	Bray-Curtis distance	0.29564954429193	Lyrebird
lyrebird	marine7	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine7	phylum	Bray-Curtis distance	0.000967904826462444	Lyrebird
lyrebird	marine7	class	Bray-Curtis distance	0.000967904826462444	Lyrebird
lyrebird	marine7	order	Bray-Curtis distance	0.0783015917496025	Lyrebird
lyrebird	marine7	family	Bray-Curtis distance	0.111725924536252	Lyrebird
lyrebird	marine7	genus	Bray-Curtis distance	0.144025071492013	Lyrebird
lyrebird	marine7	species	Bray-Curtis distance	0.338641983269653	Lyrebird
lyrebird	marine8	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine8	phylum	Bray-Curtis distance	0.000436433141766389	Lyrebird
lyrebird	marine8	class	Bray-Curtis distance	0.000436433141766389	Lyrebird
lyrebird	marine8	order	Bray-Curtis distance	0.11947540481995	Lyrebird
lyrebird	marine8	family	Bray-Curtis distance	0.157340688880328	Lyrebird
lyrebird	marine8	genus	Bray-Curtis distance	0.188601147955023	Lyrebird
lyrebird	marine8	species	Bray-Curtis distance	0.283113952198622	Lyrebird
lyrebird	marine9	kingdom	Bray-Curtis distance	0	Lyrebird
lyrebird	marine9	phylum	Bray-Curtis distance	0.000988608139858471	Lyrebird
lyrebird	marine9	class	Bray-Curtis distance	0.000988608139858471	Lyrebird
lyrebird	marine9	order	Bray-Curtis distance	0.0774771602081856	Lyrebird
lyrebird	marine9	family	Bray-Curtis distance	0.108426123302278	Lyrebird
lyrebird	marine9	genus	Bray-Curtis distance	0.126768558125174	Lyrebird
lyrebird	marine9	species	Bray-Curtis distance	0.214452767407973	Lyrebird
