accession	coverage	fasta	taxonomy
AY319521.1	1.52093	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300045988_074349.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_96_of_Caudoviricetes;f__novel_family_6_of_novel_order_96_of_Caudoviricetes;g__novel_genus_69_of_novel_subfamily_5_of_novel_family_6_of_novel_order_96_of_Caudoviricetes;s__IMGVR_UViG_3300029855_000005
BK010471.1	1.51163	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2037747006_000006.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_89_of_Caudoviricetes;f__novel_family_199_of_novel_order_89_of_Caudoviricetes;g__novel_genus_172_of_novel_subfamily_0_of_novel_family_199_of_novel_order_89_of_Caudoviricetes||novel_family_201_of_novel_order_89_of_Caudoviricetes||novel_family_22_of_novel_order_87_of_Caudoviricetes||novel_family_177_of_novel_order_89_of_Caudoviricetes||novel_family_10_of_novel_order_80_of_Caudoviricetes||novel_family_45_of_novel_order_81_of_Caudoviricetes;s__IMGVR_UViG_2037747001_000006
CAJCJZ010000002.1	1.51299	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/vogdb211/ictv/genomes/NC_041883.1.fna	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_47_of_Caudoviricetes;f__novel_family_16_of_novel_order_47_of_Caudoviricetes;g__Attisvirus;s__Attisvirus_yeet412
CP014526.1	1.31476	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300014804_000150.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_95_of_Caudoviricetes;f__novel_family_7_of_novel_order_95_of_Caudoviricetes;g__novel_genus_10_of_novel_subfamily_0_of_novel_family_18_of_novel_order_86_of_Caudoviricetes||novel_family_9_of_novel_order_86_of_Caudoviricetes||novel_family_7_of_novel_order_95_of_Caudoviricetes;s__IMGVR_UViG_3300014939_000004
CP023686.1	1.9804	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_642973532_000001.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_96_of_Caudoviricetes;f__novel_family_99_of_novel_order_96_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_0_of_novel_family_99_of_novel_order_96_of_Caudoviricetes;s__Clostridium_phage_phiCP26F
CP038625.1	1.51089	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2721755819_000002.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_216_of_Caudoviricetes;f__novel_family_11_of_novel_order_216_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_0_of_novel_family_11_of_novel_order_216_of_Caudoviricetes;s__IMGVR_UViG_2718218269_000002
IMGVR_UViG_2029527005_000025	1.29577	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300045988_022226.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_89_of_Caudoviricetes;f__novel_family_47_of_novel_order_89_of_Caudoviricetes;g__novel_genus_10_of_novel_subfamily_0_of_novel_family_47_of_novel_order_89_of_Caudoviricetes||novel_family_141_of_novel_order_89_of_Caudoviricetes;s__IMGVR_UViG_3300045988_049740
IMGVR_UViG_2029527005_000026	1.7397	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2648501222_000005.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_247_of_Caudoviricetes;f__novel_family_38_of_novel_order_247_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_0_of_novel_family_38_of_novel_order_247_of_Caudoviricetes||novel_family_183_of_novel_order_237_of_Caudoviricetes;s__IMGVR_UViG_2841231794_000005
IMGVR_UViG_2037747001_000006	1.72514	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2556921006_000004.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_209_of_Caudoviricetes;f__Peduoviridae;g__Seongnamvirus|Quadragintavirus;s__IMGVR_UViG_2841640639_000006
IMGVR_UViG_2049941000_000027	1.30718	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2868461634_000004.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_205_of_Caudoviricetes;f__novel_family_57_of_novel_order_205_of_Caudoviricetes;g__novel_genus_14_of_novel_subfamily_0_of_novel_family_57_of_novel_order_205_of_Caudoviricetes||novel_family_50_of_novel_order_205_of_Caudoviricetes;s__IMGVR_UViG_2854084220_000001
IMGVR_UViG_2051223000_000011	1.32178	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2799113212_000003.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_51_of_Caudoviricetes;f__novel_family_10_of_novel_order_51_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_0_of_novel_family_10_of_novel_order_51_of_Caudoviricetes;s__IMGVR_UViG_2795385591_000003
IMGVR_UViG_2061766007_004352	1.29155	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300045988_007996.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_96_of_Caudoviricetes;f__novel_family_105_of_novel_order_96_of_Caudoviricetes;g__novel_genus_5_of_novel_subfamily_0_of_novel_family_105_of_novel_order_96_of_Caudoviricetes||novel_family_15_of_novel_order_95_of_Caudoviricetes||novel_family_106_of_novel_order_96_of_Caudoviricetes;s__IMGVR_UViG_3300045988_009156
IMGVR_UViG_2065487000_000019	1.98361	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300045988_018604.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_81_of_Caudoviricetes;f__novel_family_25_of_novel_order_81_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_0_of_novel_family_25_of_novel_order_81_of_Caudoviricetes;s__IMGVR_UViG_3300045988_013658
IMGVR_UViG_2065487000_000059	1.9789	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_645058790_000010.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_209_of_Caudoviricetes;f__Peduoviridae;g__Seongnamvirus;s__IMGVR_UViG_2724679351_000002
IMGVR_UViG_2065487001_000013	1.73423	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/vogdb211/ictv/genomes/NC_017973.1.fna	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_49_of_Caudoviricetes;f__novel_family_16_of_novel_order_49_of_Caudoviricetes;g__Fromanvirus;s__Fromanvirus_L5
IMGVR_UViG_2065487001_000146	1.52409	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300029324_000038.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_143_of_Caudoviricetes;f__novel_family_55_of_novel_order_143_of_Caudoviricetes;g__novel_genus_6_of_novel_subfamily_1_of_novel_family_55_of_novel_order_143_of_Caudoviricetes;s__IMGVR_UViG_3300045988_078111
IMGVR_UViG_2065487014_000025	5.39018	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300045988_102659.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_95_of_Caudoviricetes;f__novel_family_38_of_novel_order_95_of_Caudoviricetes;g__novel_genus_5_of_novel_subfamily_6_of_novel_family_38_of_novel_order_95_of_Caudoviricetes;s__IMGVR_UViG_3300045988_096441
IMGVR_UViG_2077657019_000001	3.71337	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2875102487_000001.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_87_of_Caudoviricetes;f__novel_family_19_of_novel_order_87_of_Caudoviricetes;g__novel_genus_17_of_novel_subfamily_5_of_novel_family_19_of_novel_order_87_of_Caudoviricetes;s__IMGVR_UViG_2872340794_000002
IMGVR_UViG_2124908010_000060	1.74059	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_2922108689_000007.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_205_of_Caudoviricetes;f__novel_family_57_of_novel_order_205_of_Caudoviricetes;g__novel_genus_0_of_novel_subfamily_5_of_novel_family_57_of_novel_order_205_of_Caudoviricetes;s__IMGVR_UViG_2795385498_000009
IMGVR_UViG_2124908010_000100	1.30825	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/IMG-VR-4.1/genomes/IMGVR_UViG_3300006748_000029.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__novel_order_80_of_Caudoviricetes;f__novel_family_4_of_novel_order_80_of_Caudoviricetes;g__novel_genus_2_of_novel_subfamily_0_of_novel_family_4_of_novel_order_80_of_Caudoviricetes||novel_family_37_of_novel_order_96_of_Caudoviricetes;s__IMGVR_UViG_7000000086_000039
