tool	community	rank	metric	value	tool2
lyrebird	marine0	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine0	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine0	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine0	order	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine0	family	Bray-Curtis distance	0.417599660729432	Lyrebird
lyrebird	marine0	genus	Bray-Curtis distance	0.395867623113145	Lyrebird
lyrebird	marine0	species	Bray-Curtis distance	0.391074171108501	Lyrebird
lyrebird	marine1	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine1	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine1	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine1	order	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine1	family	Bray-Curtis distance	0.426844892381278	Lyrebird
lyrebird	marine1	genus	Bray-Curtis distance	0.384950277255854	Lyrebird
lyrebird	marine1	species	Bray-Curtis distance	0.375822725129656	Lyrebird
lyrebird	marine2	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine2	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine2	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine2	order	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine2	family	Bray-Curtis distance	0.432423606251458	Lyrebird
lyrebird	marine2	genus	Bray-Curtis distance	0.409704027171276	Lyrebird
lyrebird	marine2	species	Bray-Curtis distance	0.398702530066371	Lyrebird
lyrebird	marine3	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine3	phylum	Bray-Curtis distance	0.496981421566992	Lyrebird
lyrebird	marine3	class	Bray-Curtis distance	0.496981421566992	Lyrebird
lyrebird	marine3	order	Bray-Curtis distance	0.505857042793769	Lyrebird
lyrebird	marine3	family	Bray-Curtis distance	0.413274967317672	Lyrebird
lyrebird	marine3	genus	Bray-Curtis distance	0.370940062019455	Lyrebird
lyrebird	marine3	species	Bray-Curtis distance	0.372827254371268	Lyrebird
lyrebird	marine4	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine4	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine4	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine4	order	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine4	family	Bray-Curtis distance	0.439611446071394	Lyrebird
lyrebird	marine4	genus	Bray-Curtis distance	0.419327647758826	Lyrebird
lyrebird	marine4	species	Bray-Curtis distance	0.406166015922114	Lyrebird
lyrebird	marine5	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine5	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine5	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine5	order	Bray-Curtis distance	0.508095410191543	Lyrebird
lyrebird	marine5	family	Bray-Curtis distance	0.415159197353156	Lyrebird
lyrebird	marine5	genus	Bray-Curtis distance	0.39941755283943	Lyrebird
lyrebird	marine5	species	Bray-Curtis distance	0.382283159191495	Lyrebird
lyrebird	marine6	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine6	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine6	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine6	order	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine6	family	Bray-Curtis distance	0.429754676731211	Lyrebird
lyrebird	marine6	genus	Bray-Curtis distance	0.380612244897959	Lyrebird
lyrebird	marine6	species	Bray-Curtis distance	0.374095493661516	Lyrebird
lyrebird	marine7	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine7	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine7	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine7	order	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine7	family	Bray-Curtis distance	0.426808681672026	Lyrebird
lyrebird	marine7	genus	Bray-Curtis distance	0.399688499747432	Lyrebird
lyrebird	marine7	species	Bray-Curtis distance	0.388566611913201	Lyrebird
lyrebird	marine8	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine8	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine8	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine8	order	Bray-Curtis distance	0.522336065573771	Lyrebird
lyrebird	marine8	family	Bray-Curtis distance	0.43609211444522	Lyrebird
lyrebird	marine8	genus	Bray-Curtis distance	0.415592305096186	Lyrebird
lyrebird	marine8	species	Bray-Curtis distance	0.415424012607111	Lyrebird
lyrebird	marine9	kingdom	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine9	phylum	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine9	class	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine9	order	Bray-Curtis distance	0.5	Lyrebird
lyrebird	marine9	family	Bray-Curtis distance	0.43033603400186	Lyrebird
lyrebird	marine9	genus	Bray-Curtis distance	0.404498542139122	Lyrebird
lyrebird	marine9	species	Bray-Curtis distance	0.392492917847026	Lyrebird
