TPR	FPR	Precision
0.944444444	0	1
0.95	0.009433962	0.987012987
0.934065934	0.013937282	0.95505618
1	0	1
0.989690722	0.015706806	0.96969697
0.971014493	0.015306122	0.957142857
1	0.044025157	0.933333333
0.93	0	1
1	0.032846715	0.904255319
1	0.005524862	0.977777778
0.990825688	0	1
1	0.010309278	0.991071429
1	0.021052632	0.898305085
1	0	1
0.961290323	0.004761905	0.993333333
1	0	1
0.865979381	0.020689655	0.965517241
1	0	1
0.857142857	0	1
0.987951807	0	1
0.953642384	0.012345679	0.98630137
1	0.013888889	0.973684211
0.929577465	0.08045977	0.825
1	0.02027027	0.946428571
1	0.01910828	0.968421053
1	0	1
1	0	1
0.986486486	0.036458333	0.9125
1	0.025531915	0.952
1	0.076923077	0.787610619
0.960526316	0	1
0.963855422	0.020833333	0.952380952
1	0.02892562	0.909090909
1	0	1
1	0	1
0.963855422	0.014388489	0.975609756
1	0	1
0.915966387	0.013333333	0.981981982
0.880434783	0.027173913	0.941860465
0.964912281	0.02020202	0.964912281
0.960526316	0	1
1	0.029850746	0.902439024
1	0.004484305	0.988372093
0.952941176	0.036809816	0.964285714
0.95505618	0.024509804	0.944444444
0.916167665	0.019607843	0.96835443
1	0.006872852	0.979591837
1	0.013157895	0.982142857
1	0	1
0.970588235	0.102564103	0.891891892
1	0.023622047	0.96969697
1	0	1
0.957627119	0.009478673	0.982608696
0.84057971	0.029761905	0.958677686
0.98	0.025974026	0.98
0.967741935	0.03	0.869565217
1	0.036764706	0.897959184
0.931506849	0	1
0.876404494	0.009063444	0.962962963
1	0.132075472	0.871559633
0.939393939	0.046511628	0.939393939
0.880952381	0.010204082	0.991071429
0.902439024	0.038888889	0.913580247
0.96039604	0	1
0.918604651	0.011764706	0.9875
0.951807229	0	1
1	0.01320132	0.956989247
1	0.018181818	0.981981982
0.947976879	0.016129032	0.993939394
0.989795918	0	1
0.909090909	0.03649635	0.947368421
0.921875	0.062111801	0.921875
0.976923077	0	1
0.952830189	0.038135593	0.918181818
0.968085106	0	1
1	0.056338028	0.950617284
1	0.051428571	0.923728814
0.986486486	0.006535948	0.986486486
1	0.006535948	0.98
1	0	1
0.984732824	0.004830918	0.992307692
0.973333333	0	1
0.988235294	0.024	0.965517241
0.856382979	0	1
1	0.022727273	0.934065934
1	0.0390625	0.968152866
1	0.008810573	0.979381443
1	0	1
1	0.035211268	0.926470588
0.992805755	0	1
1	0	1
0.695121951	0.040816327	0.904761905
1	0	1
1	0.025974026	0.980392157
0.953125	0.007246377	0.991869919
0.938095238	0.03030303	0.97044335
0.963414634	0.019230769	0.951807229
1	0	1
0.858267717	0.030769231	0.947826087
0.959016393	0.017857143	0.966942149
