problem_phrog	count_otu_tables	median_microbial_readcount	total_microbial_readcount
phrog_6	13	6.0	77
phrog_50	21	5.0	106
phrog_51	12	3.0	46
phrog_120	11	5.0	57
phrog_146	14	2.0	42
phrog_155	23	6.0	148
phrog_171	5	6.0	30
phrog_264	8	6.5	56
phrog_302	9	5.0	39
phrog_349	8	4.0	35
phrog_587	6	6.0	35
phrog_817	4	5.5	22
phrog_953	4	7.5	55
phrog_2118	15	3.0	52
phrog_34923	2	3.0	6
phrog_9	27	4.0	107
phrog_12	16	6.0	88
phrog_40	15	4.0	66
phrog_83	13	5.0	54
phrog_94	10	5.0	51
phrog_96	7	3.0	24
phrog_124	12	4.0	52
phrog_297	7	2.0	21
phrog_378	8	3.5	41
phrog_588	7	5.0	38
phrog_2647	1	1.0	1
phrog_4798	5	7.0	36
phrog_5956	8	1.5	18
phrog_15928	6	6.5	39
phrog_21157	4	5.5	23
phrog_25061	2	5.5	11
phrog_7	26	5.0	120
phrog_59	31	7.0	225
phrog_62	13	6.0	88
phrog_145	5	6.0	30
phrog_212	3	3.0	10
phrog_240	7	6.0	39
phrog_290	2	6.5	13
phrog_313	2	2.0	4
phrog_318	1	4.0	4
phrog_355	1	2.0	2
phrog_414	11	6.0	61
phrog_477	5	2.0	16
phrog_799	5	4.0	24
phrog_1745	1	5.0	5
phrog_1770	2	5.5	11
phrog_4159	8	5.0	43
phrog_12576	1	3.0	3
phrog_15971	4	2.5	12
phrog_5	10	3.0	37
phrog_16	31	5.0	182
phrog_115	9	6.0	44
phrog_159	3	3.0	12
phrog_416	11	6.0	76
phrog_474	15	5.0	88
phrog_498	6	6.0	35
phrog_565	3	8.0	25
phrog_754	6	3.5	20
phrog_776	2	4.5	9
phrog_777	2	3.5	7
phrog_783	2	9.0	18
phrog_792	2	11.5	23
phrog_837	2	4.0	8
phrog_2597	5	3.0	19
phrog_3517	2	3.0	6
phrog_6587	2	8.5	17
phrog_27494	5	3.0	15
phrog_10	21	4.0	94
phrog_110	12	6.5	72
phrog_117	10	5.0	52
phrog_244	8	5.0	40
phrog_284	14	6.0	79
phrog_309	26	3.0	75
phrog_443	7	4.0	27
phrog_971	9	7.0	55
phrog_2322	3	3.0	11
phrog_2447	4	6.5	26
phrog_3244	2	8.0	16
phrog_5010	2	4.5	9
phrog_6049	2	4.5	9
phrog_17	8	2.0	26
phrog_69	14	4.5	66
phrog_112	6	5.0	28
phrog_161	7	3.0	29
phrog_465	4	4.5	17
phrog_1101	3	7.0	17
phrog_1196	2	4.5	9
phrog_4412	13	2.0	33
phrog_5131	7	5.0	42
phrog_7625	1	2.0	2
phrog_93	13	3.0	49
phrog_194	4	4.5	19
phrog_256	5	1.0	12
phrog_422	2	6.0	12
phrog_533	2	5.5	11
phrog_541	1	1.0	1
phrog_581	1	9.0	9
phrog_695	5	5.0	28
phrog_793	1	6.0	6
phrog_820	1	2.0	2
phrog_913	1	3.0	3
phrog_1330	4	4.5	18
phrog_16351	4	4.0	17
phrog_104	13	6.0	74
phrog_181	9	3.0	33
phrog_236	20	4.0	85
phrog_1571	1	4.0	4
phrog_1674	1	3.0	3
phrog_1697	1	4.0	4
phrog_1752	1	6.0	6
phrog_6025	3	7.0	20
phrog_20078	2	7.0	14
phrog_74	6	3.5	21
phrog_111	12	6.0	66
phrog_140	11	5.0	52
phrog_243	8	3.5	34
phrog_374	6	4.0	32
phrog_2359	6	4.5	27
phrog_5715	2	4.5	9
phrog_6643	2	2.5	5
phrog_7975	3	3.0	10
phrog_16167	4	5.5	25
phrog_25379	1	2.0	2
phrog_190	7	5.0	36
phrog_412	10	4.5	55
phrog_1252	4	6.0	22
phrog_5302	1	1.0	1
phrog_6681	1	8.0	8
phrog_11589	1	6.0	6
phrog_28748	1	5.0	5
phrog_90	7	6.0	41
phrog_312	1	2.0	2
phrog_329	4	3.0	13
phrog_384	7	7.0	45
phrog_469	6	6.5	36
phrog_758	6	7.5	45
phrog_766	6	7.0	42
phrog_771	6	7.5	43
phrog_986	6	6.5	35
phrog_1107	6	6.0	38
phrog_1356	5	3.0	13
phrog_3007	4	3.0	12
phrog_3881	5	3.0	11
phrog_4069	6	2.0	16
phrog_15455	5	4.0	20
phrog_30	10	6.5	68
phrog_31	11	5.0	60
phrog_32	10	6.0	56
phrog_569	8	5.5	42
phrog_584	8	7.0	54
phrog_680	8	5.5	45
phrog_757	8	5.0	35
phrog_4563	2	5.5	11
phrog_15487	3	3.0	11
phrog_20	4	3.0	15
