OTU_table	size_viral	size_microbial	viral_readcount	microbial_readcount	true_viral	true_microbial	false_viral	false_microbial	root_viral	root_microbial
2_component_0.otu_table	40065	6380389	2670	424280	68	235	4	0	5	17
2_component_1.otu_table	41726	775528	2780	51380	76	105	4	1	2	4
2_component_2.otu_table	219216	4548000	14610	301204	85	283	6	4	1	4
2_component_3.otu_table	69904	2749295	4660	183110	106	166	0	0	0	1
2_component_4.otu_table	43366	2934171	2890	194184	96	188	1	3	0	8
2_component_5.otu_table	58637	2359772	3876	156180	67	193	2	3	2	0
2_component_6.otu_table	36969	2657083	2460	176530	98	152	0	7	0	26
2_component_7.otu_table	59925	973912	3990	64310	93	91	7	0	0	0
2_component_8.otu_table	46387	6705377	3090	446070	85	265	0	9	0	12
2_component_9.otu_table	94826	3005861	6320	199960	44	180	0	1	3	5
2_component_10.otu_table	44605	4165744	2970	276480	108	175	1	0	0	1
2_component_11.otu_table	45201	930650	3010	61940	111	96	0	1	6	1
2_component_12.otu_table	43264	4991984	2880	330592	53	279	0	6	3	4
2_component_13.otu_table	43152	3349108	2870	220484	68	164	0	0	1	2
2_component_14.otu_table	170318	4637180	11350	308550	149	209	6	1	0	8
2_component_15.otu_table	49169	3237935	3270	215220	96	164	0	0	2	1
2_component_16.otu_table	190789	1881066	12710	122702	84	142	13	3	0	0
2_component_17.otu_table	43457	787497	2890	52310	121	70	0	0	7	0
2_component_18.otu_table	39161	3876660	2610	257954	96	259	16	0	6	3
2_component_19.otu_table	79221	2633094	5280	175060	82	150	1	0	0	0
2_component_20.otu_table	41760	2327877	2780	154800	144	160	7	2	0	4
2_component_21.otu_table	29323	2695602	1950	179500	74	142	0	2	0	11
2_component_22.otu_table	39282	1286538	2610	84810	66	160	5	14	0	4
2_component_23.otu_table	36674	2471050	2440	164270	53	145	0	3	5	3
2_component_24.otu_table	45881	3656030	3050	243610	92	154	0	3	0	0
2_component_25.otu_table	49990	4297087	3330	284986	133	208	0	0	2	7
2_component_26.otu_table	49033	712993	3260	47330	78	84	0	0	0	0
2_component_27.otu_table	32653	2532056	2170	166890	73	185	1	7	4	8
2_component_28.otu_table	69867	4225611	4650	279482	119	229	0	6	2	15
2_component_29.otu_table	130008	5684375	8660	378028	89	288	0	24	0	6
2_component_30.otu_table	168809	5075473	11250	337150	146	293	6	0	1	2
2_component_31.otu_table	60899	2720300	4050	181140	80	188	3	4	10	1
2_component_32.otu_table	44205	4227742	2940	280910	70	235	0	7	1	5
2_component_33.otu_table	38840	3237935	2580	215220	128	161	0	0	0	1
2_component_34.otu_table	50249	3180842	3340	209870	99	139	0	0	0	10
2_component_35.otu_table	31080	1969380	2070	130710	80	137	3	2	0	0
2_component_36.otu_table	78891	3753672	5250	249760	99	173	0	0	0	7
2_component_37.otu_table	45636	3591591	3040	236380	109	148	10	2	0	1
2_component_38.otu_table	32799	5314670	2180	353350	81	179	11	5	10	1
2_component_39.otu_table	59478	5784367	3960	382740	110	194	4	4	2	6
2_component_40.otu_table	31342	3378232	2080	224530	146	148	6	0	3	2
2_component_41.otu_table	88403	3744743	5890	248670	74	260	0	8	0	8
2_component_42.otu_table	43454	3809394	2890	252260	85	222	0	1	4	19
2_component_43.otu_table	33628	4446339	2240	293900	162	157	8	6	0	5
2_component_44.otu_table	43129	2502035	2870	166610	85	199	4	5	0	2
2_component_45.otu_table	31194	3651076	2070	242952	153	250	14	5	0	5
2_component_46.otu_table	39747	5948360	2640	395020	96	289	0	2	0	8
2_component_47.otu_table	54725	2207514	3640	146780	110	150	0	2	0	3
2_component_48.otu_table	54312	2077554	3620	136176	97	142	0	0	1	4
2_component_49.otu_table	165213	808491	11010	53770	99	105	3	12	0	4
2_component_50.otu_table	44823	3637336	2980	242100	96	124	0	3	0	0
2_component_51.otu_table	75943	2031590	5060	132622	90	153	0	0	0	4
2_component_52.otu_table	38099	2738662	2530	182000	113	209	5	2	0	5
2_component_53.otu_table	176495	2564050	11760	170190	116	163	22	5	3	7
2_component_54.otu_table	186386	774530	12420	51500	98	75	2	2	1	0
2_component_55.otu_table	27642	5257507	1840	349430	60	291	2	9	0	2
2_component_56.otu_table	28950	2075217	1930	136694	44	131	0	5	0	7
2_component_57.otu_table	309208	4392292	20610	291880	68	155	5	0	4	8
2_component_58.otu_table	52250	5301559	3480	352310	78	328	11	3	2	1
2_component_59.otu_table	48829	808491	3250	53770	95	92	0	14	6	5
2_component_60.otu_table	50861	3224462	3390	213560	93	123	6	6	2	3
2_component_61.otu_table	208007	3405990	13860	223310	111	97	15	1	0	15
2_component_62.otu_table	47407	2234477	3160	147844	74	173	8	7	2	1
2_component_63.otu_table	44904	2485313	2990	164906	97	189	4	0	0	3
2_component_64.otu_table	34145	775686	2270	51650	79	84	7	1	0	0
2_component_65.otu_table	50605	3394967	3370	225200	79	136	4	0	2	1
2_component_66.otu_table	46017	5359085	3060	356534	89	299	0	4	3	13
