problem_phrog	count_otu_tables	median_microbial_readcount	total_microbial_readcount
phrog_155	12	5.0	64
phrog_384	25	6.0	155
phrog_412	19	7.0	126
phrog_469	25	7.0	164
phrog_474	68	5.0	336
phrog_757	53	6.0	348
phrog_758	25	6.0	151
phrog_766	25	7.0	172
phrog_771	25	6.0	158
phrog_1107	25	6.0	137
phrog_1356	25	3.0	83
phrog_4069	26	5.5	144
phrog_6025	3	5.0	13
phrog_25777	18	2.5	60
phrog_6	14	7.0	87
phrog_51	18	4.0	78
phrog_196	14	5.0	68
phrog_236	12	5.0	58
phrog_264	13	6.0	69
phrog_302	13	3.0	44
phrog_349	12	2.0	35
phrog_530	23	7.0	106
phrog_587	14	5.0	77
phrog_817	14	5.0	79
phrog_1252	18	4.0	86
phrog_3281	16	2.5	43
phrog_21358	13	6.0	69
phrog_38670	5	6.0	32
phrog_62	49	6.0	283
phrog_115	8	5.0	36
phrog_145	52	6.0	294
phrog_2245	1	3.0	3
phrog_5	11	2.0	22
phrog_6891	10	4.0	35
phrog_18	45	6.0	301
phrog_30	45	5.0	256
phrog_32	45	6.0	256
phrog_69	55	5.0	260
phrog_93	46	7.0	300
phrog_111	44	5.5	252
phrog_112	44	3.5	171
phrog_161	47	5.0	264
phrog_169	51	6.0	332
phrog_179	47	4.0	211
phrog_584	45	5.0	279
phrog_680	43	5.0	228
phrog_1836	7	3.0	23
phrog_2536	41	3.0	138
phrog_4563	8	4.5	35
phrog_318	4	6.0	25
phrog_687	6	3.0	17
phrog_1196	2	8.0	16
phrog_28246	2	3.0	6
phrog_74	1	2.0	2
phrog_1591	8	3.0	29
phrog_255	9	8.0	63
phrog_15455	7	2.0	20
phrog_23	4	6.5	26
phrog_50	6	5.0	29
phrog_54	2	6.0	12
phrog_100	4	4.0	15
phrog_107	4	5.5	25
phrog_207	4	7.5	28
phrog_218	4	5.5	25
phrog_225	4	4.0	16
phrog_227	4	6.0	27
phrog_231	4	5.0	22
phrog_423	4	5.0	20
phrog_679	4	3.5	16
phrog_931	2	8.5	17
phrog_958	2	9.0	18
phrog_963	2	2.0	4
phrog_964	2	11.0	22
phrog_967	2	5.0	10
phrog_1002	2	5.5	11
phrog_999	2	3.0	6
phrog_1049	2	1.5	3
phrog_1051	2	4.0	8
phrog_1121	2	5.5	11
phrog_1425	2	13.5	27
phrog_2369	2	6.0	12
phrog_2886	2	3.0	6
phrog_8337	4	5.0	18
phrog_9690	5	6.0	28
phrog_24351	2	5.5	11
phrog_37990	2	5.0	10
phrog_83	1	5.0	5
phrog_3007	12	4.0	47
phrog_7037	1	3.0	3
phrog_108	1	2.0	2
phrog_1067	4	1.0	5
phrog_64	4	4.5	21
phrog_132	4	8.0	33
phrog_140	5	3.0	16
phrog_183	4	1.0	10
phrog_238	4	8.0	33
phrog_297	4	3.0	15
phrog_348	4	5.0	20
phrog_372	6	5.5	34
phrog_588	4	7.0	25
phrog_909	4	6.0	22
phrog_1204	4	8.0	28
phrog_1992	4	6.0	25
phrog_15939	3	3.0	9
phrog_18627	3	2.0	6
phrog_26922	3	5.0	14
phrog_4412	7	2.0	26
phrog_2597	2	1.0	2
phrog_47	4	6.0	20
phrog_94	3	6.0	16
phrog_405	2	8.0	16
phrog_608	2	5.0	10
phrog_2338	2	3.0	6
phrog_2484	2	8.0	16
phrog_2739	2	7.0	14
phrog_2765	4	3.5	15
phrog_3267	2	6.0	12
phrog_6123	2	7.5	15
phrog_33207	2	8.0	16
phrog_223	3	6.0	14
phrog_258	2	2.0	4
phrog_333	3	5.0	14
phrog_429	3	4.0	13
phrog_438	2	3.5	7
phrog_10644	2	4.5	9
phrog_695	6	1.5	12
phrog_4842	3	2.0	7
phrog_9002	6	5.0	32
phrog_374	6	8.5	52
phrog_9600	4	8.0	36
phrog_954	2	1.0	2
phrog_9298	1	4.0	4
phrog_389	1	2.0	2
phrog_1319	1	1.0	1
phrog_613	1	6.0	6
phrog_1745	1	5.0	5
