OTU_table	size_viral	size_microbial	viral_readcount	microbial_readcount	true_viral	true_microbial	false_viral	false_microbial	root_viral	root_microbial
2_component_0.otu_table	48050	6756227	3200	446658	75	304	0	0	0	12
2_component_1.otu_table	48837	2319795	3250	154480	64	172	6	0	0	0
2_component_2.otu_table	60958	2222750	4060	147170	35	246	1	6	0	1
2_component_3.otu_table	45696	2041385	3040	135030	69	136	0	0	0	2
2_component_4.otu_table	43945	2308179	2920	148246	104	168	0	0	1	0
2_component_5.otu_table	44798	796006	2980	53000	98	94	0	0	0	0
2_component_6.otu_table	48837	2201771	3250	145780	64	151	6	0	0	1
2_component_7.otu_table	45901	1795728	2964	116204	101	101	0	0	0	0
2_component_8.otu_table	48837	2193696	3250	144220	62	154	2	3	0	1
2_component_9.otu_table	44295	926732	2950	61640	94	38	0	0	0	1
2_component_10.otu_table	45201	6761523	3010	443636	91	486	0	0	3	2
2_component_11.otu_table	42318	2384253	2820	156970	42	130	0	0	0	4
2_component_12.otu_table	44715	2767595	2980	182050	89	196	4	2	0	0
2_component_13.otu_table	44612	1580508	2970	104380	99	136	0	0	1	0
2_component_14.otu_table	48833	2649872	3250	176216	73	214	10	0	0	2
2_component_15.otu_table	42624	1570967	2840	104340	83	123	0	0	0	0
2_component_16.otu_table	182723	4568721	12180	302950	169	295	1	1	0	0
2_component_17.otu_table	43627	1918779	2900	127220	94	166	0	5	0	2
2_component_18.otu_table	47082	3433631	3130	228012	91	243	0	0	2	5
2_component_19.otu_table	45901	4509726	2964	293900	101	245	0	0	0	5
2_component_20.otu_table	45696	1266629	3040	83286	55	58	0	0	0	1
2_component_21.otu_table	47720	2534764	3180	168816	73	142	0	4	1	0
2_component_22.otu_table	46281	2118439	3080	139652	70	160	0	3	0	0
2_component_23.otu_table	45207	1980471	3010	130930	94	165	0	0	0	1
2_component_24.otu_table	37080	1375468	2470	91350	89	96	0	0	0	3
2_component_25.otu_table	44798	2236259	2980	147450	100	165	0	0	1	0
2_component_26.otu_table	48837	4727751	3250	313520	72	168	7	0	0	1
2_component_27.otu_table	43945	4337214	2920	285660	104	191	0	0	1	4
2_component_28.otu_table	47082	2392419	3130	158930	107	180	0	0	0	0
2_component_29.otu_table	48797	3881138	3250	258730	58	299	0	0	0	1
2_component_30.otu_table	42318	2116765	2820	140200	46	128	0	1	0	0
2_component_31.otu_table	45207	3247487	3010	213190	120	189	0	0	0	0
2_component_32.otu_table	160590	1221636	10700	80880	87	138	1	4	0	0
2_component_33.otu_table	48833	2295199	3250	152326	63	130	6	0	0	0
2_component_34.otu_table	167040	3753437	11130	249250	104	289	4	0	0	1
2_component_35.otu_table	45696	6622826	3040	441100	72	332	0	7	0	2
2_component_36.otu_table	182723	1079743	12180	71610	181	141	3	0	0	0
2_component_37.otu_table	44550	3539345	2970	234448	91	224	0	1	0	0
2_component_38.otu_table	44963	3300120	2990	218310	108	221	0	1	1	3
2_component_39.otu_table	49169	2022654	3270	132720	70	170	3	0	0	0
2_component_40.otu_table	48190	3296741	3210	217130	56	192	0	0	0	6
2_component_41.otu_table	48833	1106955	3250	73310	77	139	9	0	0	0
2_component_42.otu_table	45904	3666116	3060	243750	85	239	0	0	0	2
2_component_43.otu_table	48837	1271885	3250	84630	72	57	7	0	0	0
2_component_44.otu_table	45207	1501356	3010	99340	93	69	0	0	0	8
2_component_45.otu_table	44798	3228751	2980	213960	100	109	0	0	1	7
2_component_46.otu_table	45256	5501502	3010	364734	80	243	0	4	1	4
2_component_47.otu_table	48797	910834	3250	60126	85	106	0	0	0	0
2_component_48.otu_table	63743	3236378	4240	214232	45	160	0	0	0	2
2_component_49.otu_table	45904	2637974	3060	174720	102	175	0	0	1	0
2_component_50.otu_table	43945	3469585	2920	230470	82	174	0	0	0	5
2_component_51.otu_table	47997	3243625	3190	214340	60	290	0	6	0	12
2_component_52.otu_table	45696	1966123	3040	130780	69	141	0	0	0	0
2_component_53.otu_table	38139	3164404	2540	210098	99	184	5	1	4	2
2_component_54.otu_table	45901	2683146	2944	176080	88	142	0	1	1	6
2_component_55.otu_table	46281	1674866	3080	110720	70	82	0	1	0	0
2_component_56.otu_table	45201	2573932	3010	170250	117	251	0	0	0	0
2_component_57.otu_table	63743	2724832	4240	180710	47	228	1	0	0	0
2_component_58.otu_table	44476	1562919	2960	103660	109	111	0	0	0	6
2_component_59.otu_table	47997	3704101	3190	245480	76	317	0	4	0	5
2_component_60.otu_table	48833	5310422	3250	353910	73	230	10	0	0	0
2_component_61.otu_table	48833	4686858	3250	307644	73	224	10	0	0	2
2_component_62.otu_table	48050	1967603	3200	70156	75	92	0	0	0	2
2_component_63.otu_table	46774	1809865	3110	120080	62	153	0	9	0	0
2_component_64.otu_table	45696	8662291	3040	555178	66	347	0	0	0	3
