Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	MN062187
no rank_root|no rank_root	no rank_1|no rank_1	1338
no rank_root|superkingdom_Viruses	no rank_1|superkingdom_10239	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria	no rank_1|superkingdom_10239|clade_2731341	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Siphoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10699	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Siphoviridae|genus_Septimatrevirus	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10699|genus_1921544	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Siphoviridae|genus_Septimatrevirus|no rank_unclassified Septimatrevirus	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10699|genus_1921544|no rank_2234106	1338
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Siphoviridae|genus_Septimatrevirus|no rank_unclassified Septimatrevirus|species_Pseudomonas phage PaMx42	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10699|genus_1921544|no rank_2234106|species_1175662	1338
