species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
2732027	10239	0.03877607277405127	844	False
2732023	10239	0.03474706182933061	136	False
2846117	10239	0.051658966820663586	123	False
2732034	10239	0.012352883960704211	127	False
2846082	10239	0.05063291139240506	40	False
2732035	10239	0.009495136637332098	41	False
2846129	10239	0.02122641509433962	27	False
1540099	10239	0.020225464190981434	61	False
2846132	10239	0.011245314452311536	27	False
491003	10239	0.0066125638713555755	22	False
2732020	10239	0.00870942201108472	22	False
2846098	10239	0.010852713178294573	49	False
2732021	10239	0.006874095513748191	19	False
352889	10239	0.020624408703878903	109	False
2733988	10239	0.02245922208281054	179	False
2733981	10239	0.004101899827288429	19	False
2592163	10239	0.005357142857142857	27	False
1945575	10239	0.019506597819850834	34	False
2712970	10239	0.0050010871928680145	23	False
2732036	10239	0.008350185922108422	256	False
